action,action_name
1,
2,Translation changed
3,Comment added
4,Suggestion added
5,New translation
6,
7,Suggestion accepted
8,
9,Translation uploaded
10,
11,
12,
13,New source string
14,Component locked
15,Component unlocked
16,Found duplicated string
17,Committed changes
18,Pushed changes
19,
20,
21,Rebased repository
22,Failed merge on repository
23,Failed rebase on repository
24,Parse error
25,
26,Suggestion removed
27,Search and replace
28,Failed push on repository
29,Suggestion removed during cleanup
30,Source string changed
31,New string added
32,
33,
34,Added user
35,Removed user
36,Translation approved
37,Marked for edit
38,Removed component
39,
40,Found duplicated language
41,
42,Renamed component
43,
44,New strings to translate
45,New contributor
46,
47,New alert
48,Added new language
49,
50,Created project
51,Created component
52,
53,
54,
55,
56,
57,
58,
59,String updated in the repository
60,Add-on installed
61,Add-on configuration changed
62,
63,Removed string
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
81,
82,
83,
84,
85,
86,
87,
88,
89,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
100,
